"id","image_link","site_link","heading","body","publish_date","added_at"
1,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%206918%203459'%3E%3C/svg%3E","https://www.smmt.co.uk/2024/07/auto-makers-can-drive-uks-green-growth-agenda-with-carbon-emissions-halved/","Auto makers can drive UKs green growth agenda with carbon emissions halved","25th automotive Sustainability Report shows UK vehicle manufacturers surpass major milestone with CO2 emissions per vehicle produced halved since 1999. More vehicles made but less energy used in 2023 with an 18 decline in CO2 emissions from factory production. Enhancing UKs competitiveness could help deliver more than a million Britishbuilt zero emission vehicles every year by 2035. Britains automotive sector is today urging the new Labour government to use the industrys decarbonisation success to the UKs economic advantage as a new report shows direct carbon emissions from vehicle factories halved over the past 25 years helping position the country as the ideal place to produce the next generation of zero emission vehicles. The 25th Society of Motor Manufacturers and Traders SMMT Sustainability Report published today shows the amount of CO2 directly emitted in vehicle production more than halved 54 compared with 1999 levels a major milestone achieved through massive industry investment. At the same time the amount of energy and water used per vehicle was slashed by 18.0 and 17.7 respectively last year with usage now 33 and 42 below 1999 levels. UK manufacturers are also helping cut onroad emissions with record volumes of electrified vehicles leaving factory lines in 2023 as output rose by almost half 48.0.1 Recent independent analysis suggests that with the right investment conditions by 2035 more than a million ZEVs a year could be rolling off UK factory lines exported worldwide and fuelling billions of pounds of domestic economic growth.2 With the new governments commitment to an industrial strategy and its already published Automotive Sector Plan SMMTs new report signposts the UKs green growth potential with automotive its driving force. Collaboration will be crucial making the UK even more globally competitive attracting investment not just in finished vehicle manufacturing but in its supply chains and adjacent sectors. Providing more sustainable and affordable energy is pivotal as are free and fair trade agreements which promote UKmade products globally while ensuring access to critical raw materials. A mass UK market for ZEVs is also needed given manufacturers seek to locate close to where their products are sold. Meanwhile a diverse and skilled workforce that can design build manufacture maintain and repair ZEVs is fundamental to a successful transition. Mike Hawes SMMT Chief Executive said Britains automotive sector has been cutting carbon for decades and this new milestone is significant not just for industry but for the nations move to net zero. We look forward to working with the new government to deliver its green growth agenda that puts Britain at the front of the queue for global investment and sustainability leadership. Automotive can be the driving force behind this strategy reducing carbon emissions still further while growing the economy improving air quality and delivering new jobs and skills for people across the country. The automotive industry is vital to the wider UK economy with autorelated manufacturing worth 93 billion and delivering 22 billion value added while typically investing around 4 billion a year in research and development. The sector includes more than 25 manufacturers building over 70 vehicle models plus specialist small volume manufacturers supported by some 2500 supply chain businesses. As a result the industrys contribution to employment is significant with more than 198000 jobs directly in manufacturing and 813000 in total across the automotive industry. Many of these are outside London and the Southeast with wages around 13 above the UK average. Automotive also supports jobs in key sectors such as steel chemicals plastics rubber advertising finance and logistics. 7 MEASURES TO MAKE SUSTAINABILITY A COMPETITIVE ADVANTAGE IN THE UK Publishing a green automotive transformation strategy that sets out a holistic joinedup approach and provides a pathway towards the UK automotive industrys ultimate sustainability and circularity goals Introducing a package of fiscal tax and regulatory support measures that attract new investment and ensures domestic vehicle producers are globally competitive Providing support and guidance to empower a sustainable transparent UK supply chain Mobilising a skilled diverse empowered UK workforce Developing a UK regulatory ecosystem in partnership with business that is ambitious deliverable and harmonised with global regulatory requirements and international sustainability objectives Ensuring UK sustainability data requirements match the high ambitions of automotive companies operating across global markets Maintaining and further supporting access to critical raw materials and crossborder trade building supply chain resilience to attract investment in zero emission and sustainability technologies Notes to editors 1 httpsmedia.smmt.co.ukdecember2023ukcarmanufacturing 2 SMMT Vision 2035 page 7 Click to share on Facebook Opens in new windowClick to share on Twitter Opens in new windowClick to share on LinkedIn Opens in new window","2024-07-09 00:00:00","2024-08-02 18:20:50.677377"
2,"https://pmmonline.co.uk/wp-content/uploads/2024/06/PMM-Jul-Aug-Giveaways-24.jpg","https://pmmonline.co.uk/competition/pmm-jul-aug-2024-giveaways/","PMM JulAug 2024 giveaways","Check out this months selection of giveaways from some of the industrys biggest names for the chance to win some amazing prizes 20 Febi Bilstein water bottles Febi are kindly giving away 20 of its blue print branded water bottles to PMM readers Your Name required Your Email required Your Job Titlerequired Your company name required I agree to be contacted by Febi Bilstein and its affiliates in relation to this competition Febi Bilstein will contact the winner directly I would like to sign up to the PMM enewsletter for tech tips news and competitions straight to my inbox I have read and agreed to the Terms amp Conditions required Retype this code to prove you are a human Deadline for entries is 10092024. This competition is run in association with Febi and open to trade only. Terms amp Conditions apply. Privacy Policy 5 Petronas Complete Cleaners Make sure your car is in top condition with Petronas The exclusive distributor for its Durance range JRP is giving away five Complete Cleaners which have been developed with the Mercedes F1 team. Whether your vehicle is petrol or diesel Petronas has a dedicated fuel additive to clean the entire fuel system maximising the life and power of your engine and giving you more performance. Winners need to notify their fuel type to receive the correct product. Your Name required Your Email required Your Job Titlerequired Your company name required I agree to be contacted by Petronas and its affiliates in relation to this competition Petronas will contact the winner directly I would like to sign up to the PMM enewsletter for tech tips news and competitions straight to my inbox I have read and agreed to the Terms amp Conditions required Retype this code to prove you are a human Deadline for entries is 10092024. This competition is run in association with Petronas and open to trade only. Terms amp Conditions apply. Privacy Policy","2024-06-21 00:00:00","2024-08-02 18:20:51.595992"
3,"https://pmmonline.co.uk/wp-content/uploads/2023/06/Esprit-Main-Image-23.jpg","https://pmmonline.co.uk/article/esprit-offers-to-improve-services/","Esprit offers to improve services","Esprit advises garages on how they can be improving their services through offering windscreen repairs and the kits that could help garages achieve this. Garage owners and managers should always be looking for ways to both improve the service that is given to customers and increase their profit margins. Adding windscreen repair could be a simple way to do just that. Those who havent carried out windscreen repairs before might think I dont know how it works its too expensive I might not get a good result. So lets break down how windscreen repair works then consider which system is right for your business and finally ways to sell a repair to your customer as an add on service. How does it work Windscreen repair simply works by removing air and debris from the break filling it with resin and curing it with an LED lamp. Firstly examine the break then drill out the crater. Place the bridge over the break and the injector into the bridge over the damage. Inject the resin and the plunger pushes it through the tiny cracks all around the break. The pressure on pressure off cycle ensures that air is removed from the break and resin fills the damage. Once that is done remove the bridge add a little pit fill resin to the screen and the damage is cured in 75 seconds with the LED lamp. Remove the excess resin from the screen polish it and you have a screen that is said to be as clear as a new one. Which is the right kit Esprit windscreen repair equipment sell four kits they all do the same quality job but there are some differences in price based on the number of repairs that they will carry out. The elite kit comes with an LED lamp plus enough resin to carry out 40 repairs. Its up to you what you charge for a repair but the company recommends around 2535. If you charge that amount youll have made back the cost of the kit by the time you finish the resin provided and after that you just have to replace resin and other consumables. making each repair going forward cost around 1.50 to carry out giving you a significant profit margin. The compact kit is also available which contains the LED lamp but has enough resin for 20 repairs. This kit is better for the occasional repairer but still contains all the same Esprit products as the elite kit. Finally the classic kit and the compact classic which come with the classic bridge and a UV lamp. This is the companys lowcost option but the kit still comes with all Esprit products and the resin and can be upgraded to use the LED lamp. Selling the repair If your customers vehicle comes in for an MOT a service or another repair look at the screen for any chips or breaks. Repairing sooner is always better as if a break is left the car wont pass its MOT can turn into a large crack normally necessitating a costly windscreen replacement. Make sure your customer knows that when they come to MOT their car windscreen damage will fail the MOT but a repaired windscreen will pass. They dont need to claim on their insurance and possibly lose a no claims bonus. The cost benefits to the customer of repairing rather than replacing are easy to see. Repairs only take around 2030 minutes so they can be carried out as part of the service or MOT. If you charge around 25 for a repair most customers who are having a service MOT or other repairs to their car will agree that this is a lowcost way of preventing the need for a windscreen replacement. Want to know more For more information click here.","2023-07-21 00:00:00","2024-08-02 18:20:51.657841"
4,"https://pmmonline.co.uk/wp-content/uploads/2023/07/Mechanex-Main-Image-23.jpg","https://pmmonline.co.uk/article/mechanex-2023-featuring-pmm-live/","Mechanex featuring PMM LIVE returns","The handson show for handson techs is more committed than ever to bringing PMM to life with new opportunities to debate the future of independent workshops. 2023 sees PMM once again rounding up the most important suppliers in the aftermarket to provide workshop owners and technicians with an engaging informative day out of the workshop. The UKs longestrunning trade show dedicated solely to the independent aftermarket will once again be held at Sandown Park on Tuesday 7th and Wednesday 8th November. Mechanex is well known within the independent aftermarket for offering visitors a handson experience bringing them the latest updates and expertise from across the industry and providing an exciting day away from the workshop. 7th8th November Registration to visit the show is free and so is parking so why not come and take a look at what the biggest names in the aftermarket have to show you. In such a competitive industry Mechanex is an opportunity you cant afford to miss. If you like PMM youll love Mechanex its simply the magazine in a live format. New for 2023 This year Mechanex will be featuring the brand new PMM LIVE format for the first time. PMM LIVE aims to educate and inform visitors to the show in the same way the magazine does. We will be keeping you up to date on the latest issues affecting your business on our seminar stand as well as bringing you our FutureDrive Zone. Well be hosting a raft of forward looking exhibitors who will be demonstrating the products and technology necessary for the workshops of the future. Plus well be hosting exclusive talks including a debate from the foremost experts in the field on the real future of how cars in the UK are powered. Want to know more For information click here.","2023-08-25 00:00:00","2024-08-02 18:20:51.719027"
5,"https://pmmonline.co.uk/wp-content/uploads/2024/06/Glen-Callum-Associates-Recruitment-24.jpg","https://pmmonline.co.uk/news/glen-callum-associates-discusses-recruitment/","Glen Callum Associates discusses recruitment","Glen Callum Associates has announced it will be addressing the ongoing talent shortages in the sector by providing practical advice and solutions. This will include sharing insights on how businesses can overcome recruitment challenges and thrive in todays competitive landscape by adopting a skillsbased hiring strategy. The current recruitment market presents significant challenges with the UK unemployment rate reportedly at 4.4 and an estimated 904000 vacancies between March and May 2024 which is 12 above preCOVID levels. Additionally 93 of hiring managers have reportedly expressed concerns about continued talent shortages. Glen Callum Associates advise an effective solution to these talent shortages is adopting a skillsbased approach to hiring. This method prioritises a candidates skills adaptability and potential over traditional job titles or industry experience. Skillsbased hiring evaluates candidates through practical tasks and scenariobased questions focusing on both hard skills such as data analysis and soft skills like communication and leadership. The approach has reportedly been implemented by 40 of UK recruiters and has led to 43 of businesses shifting their job adverts to focus on skills and competencies rather than qualifications. Whats more 20 of businesses have reportedly removed degree requirements from job adverts. In todays competitive landscape the top skills said to stand out to SMEs include a good work ethic with 38 of businesses valuing this trait highly. Following closely 37 are said to prioritise team players while 31 value quick learners. Confidence is said to be key for 27 of SMEs and the ability to work under pressure is crucial for another 26. Additionally 26 of businesses look for candidates who are a good personality fit for their company. Kayleigh Bradley Senior Recruiter at Glen Callum Associates said Skillsbased hiring offers numerous advantages. It reduces the time to hire by streamlining the recruitment process and decreases hiring costs by lowering expenses associated with lengthy recruitment phases. This approach also improves diversity attracting a broader range of candidates from diverse backgrounds. It enhances talent attraction by drawing in candidates who are genuinely interested and engaged. Importantly companies with solid skillsbased hiring practices saw a 17 increase in employee retention and a 23 increase in productivity according to a 2023 study by Deloitte. To implement a skillsbased approach businesses should consider removing degree requirements from job adverts to attract a wider pool of candidates advises Glen Callum Associates. Updating job descriptions to emphasise the skills required for the job and providing a clear list of responsibilities rather than an exhaustive list of previous experiences and qualifications is also crucial the specialist urges. Additionally using skillsbased assessments such as online tests or scenariobased questions during the interview process can be highly effective. While this approach may not be applicable to all positions it is an efficient way of recruiting for many roles. Kayleigh added At Glen Callum Associates we understand the importance of broadening the talent pool by recognising transferable skills from allied industries. This not only addresses the skills gap but also brings fresh perspectives and innovative approaches to our sector. By adopting a skillsbased approach businesses can attract passionate and capable individuals contributing towards a more diverse and dynamic workforce. For more information on how Glen Callum Associates can help businesses navigate the recruitment landscape contact Glen Callum Associates at jobsglencallum.co.uk or visit the website.","2024-06-25 00:00:00","2024-08-02 18:20:51.781066"
6,"https://pmmonline.co.uk/wp-content/uploads/2023/06/Delphi-Main-Image-23.jpg","https://pmmonline.co.uk/article/delphi-offers-help-with-teslas/","Delphi offers help with Teslas","PMMs Kieran Nee catches up with Delphis workshop solutions technical lead Phil Mitchell to find out what the aftermarket company has got lined up to help technicians take on Tesla vehicles in their workshop. It would be safe to say that the electrification of vehicles powertrains has galvanised the automotive industry in a way that hasnt happened since the introduction of the diesel engine. All of a sudden the cars we drive and how we drive them are regularly headline news and the source of heated debates between rentagob pundits. There is a risk that this fastpaced literally technology will leave the repair sector behind if technicians dont take it upon themselves to join training course and gain some accreditation. To be fair considering the speed with which the government is ordering a switch from ICE vehicles to EVs the aftermarket has done a commendable job of signing up for training on handling EVs. These courses however have mostly focussed on the health and safety aspect of working with EVs. What this training mostly provides workshops is the ability to perform routine service and maintenance tasks in a safe manner with the battery successfully isolated. What most workshops have yet to tackle is anything to do with the battery or indepth diagnostics on EVs. This is something that was emphasised in my recent chat with Delphi Technologies Phil Mitchell. Phil now EMEA workshop solutions technical lead will be familiar to many readers for having provided Delphi training in the UK. He told me that there was a growing problem of specifically Tesla owners finding they were unable to get their vehicles repaired or even serviced or having a tyre changed by independent garages. Why might this be Well in Phils words the aftermarket is fairly scared of Tesla vehicles. Phil contrasts Mr Musks vehiclecumtech company with the legacy brands also active in the EV market noting that when it comes to diagnosing Teslas with aftermarket tools its difficult to know where to start. Up until around a year and a half ago Phil tells me Tesla was a closed book when it came to releasing its data to the aftermarket. It was excruciatingly expensive to access its dealer tools and there were no aftermarket diagnostics tools offering Tesla coverage. So what has Delphi done to help the aftermarket with its Tesla dilemma Phil explains We took a twopronged attack. We are launching diagnostic software with Tesla capabilities and now we are accompanying that with an etraining module on our Delphi Academy to guide technicians through some key diagnostic processes for Teslas. The aim is to provide a full solution for workshops in order to enable them to work on Teslas. No aftermarket diagnostics tool will have as much capability as the dealer tool so will the training academys online course focus simply on the tasks which the tool can complete Not according to Phil We looked at the all the common jobs workshops will be doing the ones they make the most money on and we included lots of information about the cars themselves everything you would need to know to comfortably repair them. But we also look at what jobs you can carry out using the Tesla OE software which you cant using our tool. The 11part elearning course takes users stepbystep through getting set up and acquainted with Teslas and counts towards a users IMI CPD credits. Want to know more For more information click here.","2023-07-19 00:00:00","2024-08-02 18:20:51.843456"
7,"https://pmmonline.co.uk/wp-content/uploads/2024/05/EVSeries-Main-Image-24-v2.jpg","https://pmmonline.co.uk/article/will-hydrogren-replace-evs-part-two/","Will hydrogren replace EVs Part Two","In part one Tom Denton shared his opinion that hydrogen is not an ideal fuel for cars and looked at how clean hydrogen is created. This time he will examine briefly how a fuel cell converts hydrogen into electricity and then compare the efficiency of an EV and a FCEV. Protonexchange membrane fuel cells also known as polymer electrolyte membrane PEM fuel cells are the type mainly used for vehicles. They produce electricity through the reaction of a fuel hydrogen with oxygen. Water is the only waste product from this type of fuel cell. The reaction between hydrogen and oxygen releases energy. Fuel cells convert a substantial proportion of the chemical energy into electrical energy so are very efficient. All oxidations involve a transfer of electrons between the fuel and oxidant and in a fuel cell this is employed to convert the energy directly into electricity. The working temperature of fuel cells is 50100C but some can be up to 200C. High pressure is also used in the cell in the region of 30 bar. A unit consisting of many fuel cells is referred to as a stack. Individual cells are connected in series just like a normal battery. This forms a stack that meets the necessary voltage and current requirements. The theoretical opencircuit voltage of a hydrogenoxygen fuel cell is 1.23V at room temperature but in practice it is around 1V. Under load conditions the cell voltage is between 0.5 and 0.8V. The stack voltage is usually 400500V. Figure 1 Protonexchange polymer electrolyte membrane fuel cell operation Opinion and facts As mentioned previously in my opinion hydrogen is not the future for cars but it will be used for storage and on larger vehicles such as buses and trucks perhaps even for shipping and aviation. Something that is often overlooked is that a hydrogen car is a battery electric vehicle but with considerable added complexity and therefore cost. FCEVs have a lithiumion battery and all the other components that a standard BEV has but they also have a fuel cell stack fuel storage tanks and associated delivery systems. For hydrogen to become a mainstream fuel a new infrastructure will be required at fuel stations. The hydrogen will have to be created compressed delivered and stored. Unfortunately hydrogen consumes a huge amount of energy as it is being created and compressed. Delivering electricity to a charger via the national grid is very efficient. Creating and storing hydrogen when a wind turbine or solar farm is producing more electricity than is needed is an ideal solution. Truck refuelling stations could be located close to where this hydrogen is created to reduce delivery costs. However to roll out a national network of hydrogen charging stations that rival petroldiesel would be a huge task some say we are struggling to roll out enough EV charge points which is a much simpler process. Figure 2 Fuel cell stack from a Toyota Mirai For me the key information that we need to be aware of is how much electricity is needed to run a hydrogen powered vehicle. This image shows that the BEV is much more efficient Grid capacity will need to expand to charge more BEVs but to create enough hydrogen for the equivalent FCEVs the expansion would need to be more than double. As a clean fuel there is no doubt that hydrogen has exciting potential. The fact that big names like Bosch VW BMW Toyota and others are investing in it definitely tells us something. However there are a lot of technical challenges yet to solve not least of which is the creation and distribution of hydrogen. Hydrogenpowered cars have a lot going for them. Theyre clean and offer good range. But on further examination the amount of upstream electricity they use makes them less attractive. Larger vehicles and local storage seem like good options but we have all got a lot more to learn about the best way to use the benefits of hydrogen. Go BEVs For more from the EV series click here.","2024-05-07 00:00:00","2024-08-02 18:20:51.904994"
8,"https://pmmonline.co.uk/wp-content/uploads/2024/05/EVSeries-Main-Image-24-v2.jpg","https://pmmonline.co.uk/article/will-hydrogren-replace-evs-part-one/","Will hydrogren replace EVs Part One","Hydrogen is indeed the fuel of the future according to Tom Denton just not for cars Whenever I get involved in a discussion about the future of transport there is often somebody who will categorically state that hydrogen cars are the only way forward. This usually arises from the idea that using a hydrogenpowered vehicle will be much the same as using a petrol or dieselpowered one so we dont need to change our habits. We would be able to fill it up almost anywhere giving a range of several hundred miles so when the need arises we can drive the entire length of the country. After all you cant do that in an EV they often add. Figure 1 An FCEV is a complex machine I agree you cant do that journey nonstop in an EV yet but how many times do you need to do it anyway Their next argument is usually something about how the national grid will not be able to charge all the EVs. In response I add that a hydrogen car uses at least three times some say more as much electricity as a pure EV or uses dirty hydrogen from a gas refinery. Their last resort is usually something related to all the rare earth metals used in an EV and its battery. At this point I remind them that a fuel cell electric vehicle FCEV has all the same technology as an EV including a battery but it also has a complex fuel cell with associated highpressure tanks and pipes. The Toyota Mirai for example even has a massive supercharger. Even at this stage of the discussion the desire not to have to change what they do in my opinion means that they are still not convinced that hydrogen is not the fuel of the future for cars. I need to try harder so here we go Hydrogen Clean green or yellow hydrogen is created by electrolysing water using electricity from renewable resources. Electrolysis is the decomposition of a chemical by passing an electric current through a liquid. Currently most hydrogen is currently obtained by steam reformation from natural gas meaning the CO2 produced is roughly equivalent to that produced by petrol or diesel engines. Hydrogen can be used in fuel cells to power electric motors or can be burned directly in internal combustion engines. Fuel cells are the most efficient. Hydrogen is an environmentally friendly fuel at the point of use as it only produces water as a byproduct. It also has a very high energy density. However it has to be compressed to between 350 and 700 bar to achieve a suitable tank volume for a normal vehicle. Figure 2 Basic electrolysis process Advantages No air pollutants or greenhouse gases at the point of use in a fuel cell It produces only NOx when burned in internal combustion engines. Disadvantages Expensive to produce and is only available at a few locations Fuel cells are an expensive addition to an EV. Summary In this article I have shared my opinion on hydrogen as a fuel for cars and looked at how clean hydrogen is created. Next time we will examine how a fuel cell converts this clean hydrogen back into electricity and how the efficiency of an EV and an FCEV compare. For more from the EV series click here.","2024-05-07 00:00:00","2024-08-02 18:20:51.966805"
9,"https://pmmonline.co.uk/wp-content/uploads/2024/05/EVSeries-Main-Image-24-v2.jpg","https://pmmonline.co.uk/article/ev-charging-wireless-power-transfer/","EV Charging Wireless power transfer","Wireless power transfer WPT is a system for wirelessly charging the batteries in electric vehicles. There are two main methods stationary WPT dynamic WPT With stationary charging the electric energy is transferred to a parked vehicle. In dynamic wireless charging systems the energy is transferred via a special driving lane equipped with a primary coil system at a high power level to a secondary coil of a moving vehicle. Because the range of most EVs is now good the need for dynamic charging has reduced. I will therefore concentrate on static or stationary WPT. To wirelessly charge a suitably equipped electric vehicle simply parks over an induction pad and charging commences automatically. Just like with wired connections the rate of charge is set from within the vehicle. There are no visible wires or connections. A primary charging pad is buried or set on the ground on a drive or in a garage for example and a secondary pad is integrated onto the vehicle. Figure 1 Inductive wireless charging 1 power supply 2 primary pad 3 wireless electricity and data transfer 4 secondary pad 5 onboard charger and controller 6 battery The power supply Fig.1 takes a mains voltage input and produces highfrequency current gt20 kHz. Its output current is controlled and applied to the primary pad. Power is transferred from the primary pad to the secondary pad using transformer action. The onboard charger takes power from the receiver pad and provides a controlled output to the battery. The controller is required to provide an output that remains independent of the load and the separation between pads. Figure 2 Charging station GroundPad BMW has developed a wireless charging system. As soon as the vehicle has been parked in the correct position above the inductive charging station Fig.2 a simple push of the StopStart button starts the charging process. Once the battery is fully charged the system switches off automatically just as if it was plugged in. The system helps the driver to manoeuvre the car into the correct parking position with the help of a WiFi connection between the charging station and vehicle. An overhead view of the car and its surroundings is displayed in the centre control display. Coloured lines help guide the driver into the correct spot. A graphic icon shows when the correct parking position for inductive charging has been reached. This can deviate from the optimum position by up to 7 cm longitudinally and up to 14 cm laterally. The contactless transfer of energy between the GroundPad and CarPad is conducted over a vertical distance of around 7.5 cm. The GroundPad generates a magnetic field. This induces a voltage in the CarPad which then causes a current flow to the onboard charger just as if the car was plugged in. WPT is designed for slow charging so is ideal for home chargers where for example you simply park the vehicle as normal and charging automatically takes place overnight. For more from the EV series click here.","2024-05-07 00:00:00","2024-08-02 18:20:52.028451"
10,"https://pmmonline.co.uk/wp-content/uploads/2024/05/EVSeries-Main-Image-24-v2.jpg","https://pmmonline.co.uk/article/ev-pre-conditioning/","EV Preconditioning","In the penultimate article in the series Tom Denton explores the heating and cooling functions of an electric vehicle. Most EVs allow the operation of heating or cooling when the vehicle is plugged in and charging. Some also allow this function directly from the battery. The most important aspect is that when plugged in this allows the vehicle cabin to be preconditioned on mains power saving battery capacity and increasing range. The two most common operations are Cooling with an electrically driven air conditioner compressor Heating with a highvoltage positive temperature coefficient PTC heater. Figure 1 Setting the temperature on a connected app VW These cooling and heating functions are activated via the cars infotainment system or a connected app. The car can be scheduled to heat or cool its interior to an optimum temperature ready for departure Fig.1. When the car is plugged in electricity is drawn from the mains and not the battery so this has no impact on driving range. Having the screen and windows free of mist and ice also saves time and is a safety improvement because many people drive before the windows are clear. Preconditioning doesnt add miles to the normal range but it will preserve the predicted range available at the start of the journey. Using the air conditioning or heating on a high setting is not needed during the journey so the vehicle will consume less energy. Figure 2 Incar smart climate controls via touch screen Preconditioning can also help the battery. Lithiumion batteries are based on electrochemical reactions that slow down in cold weather. During the winter a battery provides less energy and will lose its charge more quickly. Preconditioning on some vehicles will warm the battery to optimum temperature using power from the mains which will help the battery to work at its optimum. When necessary the battery control unit can also request cooling of the battery. Modern petrol engines have a thermal efficiency under high load conditions of about 40 per cent and about 30 per cent under other conditions. The ICE engine is a ready source of waste heat that can be used in the vehicle cabin but EV heaters have to use electricity. AC systems draw energy from both ICE and EV and will have some impact on the range. EV motors have an efficiency of around 95 per cent and other components such as the DCDC converter power electronics and battery chargingdischarging cycles all produce heat. Engineers are therefore looking at how to use this waste heat to warm EV passengers in cold conditions. Figure 3 Thermal image of a heated steering wheel Another point of interest is that the vehicle cabin temperature is about perceived temperature as well as the measured temperature. New ideas such as electric feet heaters are under development. One already in use is the heated steering wheel. As well as being very nice for cold hands on a cold day the driver feels warmer so less energy is needed for general cabin heating. Cabin zones are often used too when the car just has one occupant. In summary preconditioning can improve the comfort of the driver and passengers look after the high voltage battery and save money. For more from the EV series click here.","2024-05-07 00:00:00","2024-08-02 18:20:52.089879"
